model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
itemknn,B,behavioral,p,5,5,0.0074,0.0052,0.0059,0.0072,8.7988,0.5226,2.6132,0.9788,0.8159,0.6496,0.0666,0.5873,0.4676,0.1197
itemknn,B,semantic,p,5,5,0.0065,0.0045,0.0051,0.0064,6.592,0.6506,3.2528,0.9972,0.7796,0.5704,0.1624,0.649,0.6519,-0.003
itemknn,B,hybrid_5,p,5,5,0.0074,0.0052,0.0058,0.0071,8.1165,0.56,2.8002,0.992,0.8198,0.6303,0.0946,0.6059,0.521,0.085
itemknn,B,hybrid_10,p,5,5,0.0068,0.0048,0.0054,0.0067,7.7512,0.5798,2.899,0.9946,0.8143,0.6176,0.1085,0.6157,0.5492,0.0666
itemknn,B,hybrid_20,p,5,5,0.0066,0.0046,0.0052,0.0065,7.3846,0.6022,3.011,0.9958,0.8063,0.6053,0.1309,0.6272,0.5809,0.0463
mf,none,none,none,5,5,0.0113,0.0072,0.0085,0.01,14.3972,0.2258,1.1292,0.7222,0.0199,0.0239,-0.0817,0.2304,0.2219,0.0085
mf,A,global_0.0,0.0,5,5,0.0113,0.0072,0.0085,0.01,14.3972,0.2258,1.1292,0.7222,0.0199,0.0239,-0.0817,0.2304,0.2219,0.0085
mf,A,global_0.2,0.2,5,5,0.0108,0.0069,0.0082,0.0092,9.4431,0.4514,2.2572,0.8656,0.0355,0.0183,-0.0553,0.4458,0.4562,-0.0104
mf,A,global_0.4,0.4,5,5,0.0099,0.0062,0.0074,0.0084,7.0581,0.5728,2.864,0.9414,0.0359,0.0166,-0.0864,0.5677,0.5772,-0.0095
mf,A,global_0.6,0.6,5,5,0.0085,0.0054,0.0064,0.0077,4.0477,0.7829,3.9144,0.9988,0.0339,0.0141,-0.147,0.779,0.7862,-0.0073
mf,A,global_0.8,0.8,5,5,0.0042,0.0028,0.0033,0.0043,0.1651,1.0,5.0,1.0,0.0271,0.0089,-0.0554,1.0,1.0,0.0
mf,A,global_1.0,1.0,5,5,0.0015,0.001,0.0011,0.0013,0.0195,1.0,5.0,1.0,0.0028,0.0009,0.9747,1.0,1.0,0.0
