model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
knn,none,none,none,5,1,0.0534,0.0369,0.0425,0.0716,4.3259,0.003,0.0151,0.0139,0.2424,0.3293,-0.298,0.0083,0.0028,0.0055
knn,A,global_0.0,0.0,5,1,0.0534,0.0369,0.0425,0.0716,4.3259,0.003,0.0151,0.0139,0.2424,0.3293,-0.298,0.0083,0.0028,0.0055
knn,A,global_0.2,0.2,5,1,0.0526,0.0363,0.0418,0.0671,2.7436,0.6002,3.0012,0.72,0.5076,0.3192,0.401,0.069,0.6197,-0.5507
knn,A,global_0.4,0.4,5,1,0.0437,0.0299,0.0345,0.0564,2.5186,0.6905,3.4526,0.8146,0.5379,0.285,0.4243,0.16,0.7099,-0.5499
knn,A,global_0.6,0.6,5,1,0.0366,0.0246,0.0285,0.0452,2.3078,0.773,3.8652,0.9535,0.5455,0.2396,0.5281,0.3931,0.7869,-0.3938
knn,A,global_0.8,0.8,5,1,0.0235,0.0165,0.0188,0.0221,2.0026,0.9064,4.5319,1.0,0.4848,0.1307,0.6408,0.789,0.9107,-0.1217
knn,A,global_1.0,1.0,5,1,0.0003,0.0001,0.0001,0.0002,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
knn,A,behavioral,p,5,1,0.0534,0.0369,0.0425,0.0716,4.3191,0.0052,0.0258,0.0175,0.3636,0.3321,-0.2968,0.069,0.0028,0.0661
knn,A,semantic,p,5,1,0.0382,0.026,0.03,0.0479,2.3024,0.7782,3.8908,0.9392,0.5379,0.2325,0.5197,0.4248,0.7911,-0.3662
knn,A,hybrid_5,p,5,1,0.0532,0.0366,0.0422,0.07,2.7595,0.5965,2.9827,0.6961,0.5303,0.3202,0.3592,0.1117,0.6143,-0.5026
knn,A,hybrid_10,p,5,1,0.0527,0.0363,0.0418,0.0672,2.6969,0.6172,3.0859,0.7766,0.5379,0.3143,0.4196,0.1421,0.6346,-0.4925
knn,A,hybrid_20,p,5,1,0.0519,0.0358,0.0413,0.0646,2.615,0.6479,3.2397,0.8307,0.5455,0.3033,0.4364,0.2207,0.6636,-0.4429
knn,B,global_0.0,0.0,5,1,0.0543,0.0375,0.0432,0.0733,4.6824,0.0027,0.0134,0.0122,0.2197,0.3103,0.0667,0.0069,0.0025,0.0044
