model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
mf,B,global_0.6,0.6,5,3,0.1585,0.1166,0.133,0.1415,2.6865,0.585,2.9251,0.981,0.0682,0.0131,0.1713,0.4212,0.5913,-0.1701
mf,B,global_0.8,0.8,5,3,0.1379,0.1019,0.116,0.116,2.4978,0.6701,3.3506,1.0,0.0985,0.0119,0.2691,0.5338,0.6753,-0.1415
mf,B,global_1.0,1.0,5,3,0.0002,0.0,0.0001,0.0002,2.4,0.8,4.0,1.0,0.0379,0.001,0.2236,0.8,0.8,0.0
mf,B,behavioral,p,5,3,0.1817,0.1338,0.1526,0.2085,4.319,0.0091,0.0457,0.0151,0.0379,0.0177,0.082,0.249,0.0,0.249
mf,B,semantic,p,5,3,0.1682,0.1237,0.1412,0.1684,2.8139,0.5333,2.6667,0.9389,0.0758,0.0144,0.1261,0.3762,0.5393,-0.1632
mf,B,hybrid_5,p,5,3,0.1822,0.1341,0.1529,0.2081,3.3985,0.2777,1.3883,0.736,0.0455,0.0165,0.1011,0.2768,0.2777,-0.0009
mf,B,hybrid_10,p,5,3,0.1777,0.131,0.1493,0.2037,3.1847,0.3704,1.8518,0.8494,0.053,0.0161,0.1317,0.2954,0.3732,-0.0779
mf,B,hybrid_20,p,5,3,0.1766,0.1302,0.1484,0.197,3.0355,0.4393,2.1964,0.8869,0.053,0.0158,0.1435,0.3099,0.4442,-0.1343
mf,none,none,none,5,4,0.2798,0.1916,0.2255,0.2849,4.289,0.0,0.0,0.0,0.0,0.0257,0.2883,0.0,0.0,0.0
mf,A,global_0.0,0.0,5,4,0.2798,0.1916,0.2255,0.2849,4.289,0.0,0.0,0.0,0.0,0.0257,0.2883,0.0,0.0,0.0
mf,A,global_0.2,0.2,5,4,0.1804,0.1309,0.1503,0.1863,3.046,0.4286,2.1431,0.8036,0.303,0.0226,0.1657,0.2591,0.435,-0.1759
mf,A,global_0.4,0.4,5,4,0.1195,0.0918,0.1029,0.1291,2.5831,0.6447,3.2236,0.891,0.3106,0.0207,0.2367,0.306,0.6575,-0.3514
mf,A,global_0.6,0.6,5,4,0.0907,0.0701,0.0785,0.0834,2.3186,0.76,3.8002,0.983,0.3106,0.0177,0.3897,0.455,0.7715,-0.3165
mf,A,global_0.8,0.8,5,4,0.0097,0.0076,0.0084,0.0093,2.0283,0.8944,4.472,1.0,0.3106,0.0125,0.5864,0.7208,0.9009,-0.1801
mf,A,global_1.0,1.0,5,4,0.0005,0.0003,0.0004,0.0004,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
mf,A,behavioral,p,5,4,0.2798,0.1916,0.2255,0.2849,4.2658,0.0087,0.0433,0.0114,0.2273,0.0303,0.2923,0.2389,0.0,0.2389
mf,A,semantic,p,5,4,0.1028,0.08,0.0892,0.1017,2.3683,0.739,3.6951,0.9584,0.3106,0.0193,0.3506,0.443,0.7502,-0.3072
mf,A,hybrid_5,p,5,4,0.1884,0.1364,0.1567,0.1975,3.1471,0.3932,1.9659,0.7002,0.303,0.0234,0.1319,0.2711,0.3978,-0.1266
mf,A,hybrid_10,p,5,4,0.1527,0.1142,0.1294,0.1693,2.8532,0.5227,2.6136,0.82,0.3106,0.0228,0.2602,0.298,0.5312,-0.2332
