model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
itemknn,A,hybrid_20,p,5,3,0.0138,0.0083,0.01,0.0127,3.7978,0.2263,1.1314,0.6331,0.5379,0.2838,0.4116,0.2185,0.2266,-0.008
itemknn,B,global_0.0,0.0,5,3,0.0229,0.0149,0.0175,0.0191,4.2806,0.079,0.3951,0.3925,0.3333,0.3363,-0.0797,0.0305,0.0809,-0.0504
itemknn,B,global_0.2,0.2,5,3,0.0228,0.0148,0.0174,0.0189,4.0257,0.1675,0.8377,0.4562,0.4621,0.3296,0.1615,0.0503,0.172,-0.1217
itemknn,B,global_0.4,0.4,5,3,0.0215,0.0141,0.0165,0.0175,3.8742,0.2223,1.1114,0.6818,0.4773,0.2924,0.18,0.1735,0.2241,-0.0506
itemknn,B,global_0.6,0.6,5,3,0.0125,0.0072,0.0087,0.0105,3.7412,0.277,1.3852,0.7949,0.5303,0.2573,0.2168,0.2967,0.2763,0.0204
itemknn,B,global_0.8,0.8,5,3,0.0103,0.0058,0.0071,0.008,3.1327,0.519,2.5951,1.0,0.4773,0.1946,0.3533,0.5152,0.5192,-0.0039
itemknn,B,global_1.0,1.0,5,3,0.0002,0.0,0.0001,0.0002,2.4,0.8,4.0,1.0,0.0379,0.001,0.2236,0.8,0.8,0.0
itemknn,B,behavioral,p,5,3,0.0229,0.0149,0.0175,0.0191,4.276,0.0801,0.4007,0.3949,0.3636,0.3369,-0.0789,0.0609,0.0809,-0.02
itemknn,B,semantic,p,5,3,0.0199,0.0131,0.0154,0.0156,3.7956,0.2529,1.2645,0.7187,0.5,0.2686,0.2282,0.2781,0.2519,0.0262
itemknn,B,hybrid_5,p,5,3,0.0223,0.0147,0.0172,0.0187,4.0003,0.1749,0.8745,0.4873,0.4545,0.3194,0.1673,0.102,0.1777,-0.0757
itemknn,B,hybrid_10,p,5,3,0.0221,0.0146,0.0171,0.0185,3.9574,0.1884,0.9421,0.5448,0.4545,0.3069,0.182,0.1311,0.1906,-0.0595
itemknn,B,hybrid_20,p,5,3,0.0215,0.0142,0.0166,0.0173,3.905,0.2106,1.0528,0.6331,0.447,0.2947,0.1901,0.1748,0.2119,-0.0371
itemknn,none,none,none,5,4,0.0098,0.0054,0.0066,0.0096,4.1563,0.0769,0.3847,0.383,0.2879,0.3272,-0.0011,0.0255,0.0789,-0.0534
itemknn,A,global_0.0,0.0,5,4,0.0098,0.0054,0.0066,0.0096,4.1563,0.0769,0.3847,0.383,0.2879,0.3272,-0.0011,0.0255,0.0789,-0.0534
itemknn,A,global_0.2,0.2,5,4,0.0107,0.0059,0.0073,0.01,3.9945,0.1181,0.5903,0.5771,0.4167,0.317,0.408,0.0309,0.1213,-0.0905
itemknn,A,global_0.4,0.4,5,4,0.0098,0.0055,0.0067,0.0093,3.836,0.1705,0.8523,0.7776,0.5227,0.2801,0.4474,0.1758,0.1703,0.0056
itemknn,A,global_0.6,0.6,5,4,0.0071,0.0043,0.0051,0.0067,3.5927,0.2694,1.347,0.8854,0.5,0.1888,0.4859,0.4523,0.2625,0.1898
itemknn,A,global_0.8,0.8,5,4,0.0029,0.0018,0.0021,0.0026,2.8322,0.5584,2.792,1.0,0.3636,0.0699,0.7855,0.8644,0.5469,0.3175
itemknn,A,global_1.0,1.0,5,4,0.0005,0.0003,0.0004,0.0004,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
itemknn,A,behavioral,p,5,4,0.0099,0.0055,0.0067,0.0096,4.1526,0.0777,0.3886,0.3849,0.2955,0.3262,-0.0007,0.047,0.0789,-0.0319
itemknn,A,semantic,p,5,4,0.0075,0.0045,0.0053,0.0072,3.6107,0.2636,1.318,0.8314,0.4621,0.1993,0.5092,0.4711,0.2558,0.2153
itemknn,A,hybrid_5,p,5,4,0.0103,0.0058,0.0071,0.0097,3.9588,0.1293,0.6467,0.62,0.4773,0.3048,0.417,0.106,0.1302,-0.0242
itemknn,A,hybrid_10,p,5,4,0.0102,0.0059,0.0071,0.0097,3.898,0.1498,0.7491,0.682,0.5,0.2851,0.432,0.1584,0.1495,0.0089
itemknn,A,hybrid_20,p,5,4,0.0093,0.0054,0.0065,0.009,3.8244,0.1764,0.8822,0.7397,0.5152,0.2663,0.4525,0.2134,0.1751,0.0384
itemknn,B,global_0.0,0.0,5,4,0.0099,0.0055,0.0067,0.0095,4.2471,0.008,0.0401,0.0375,0.2879,0.3205,-0.3116,0.0242,0.0074,0.0167
itemknn,B,global_0.2,0.2,5,4,0.0099,0.0055,0.0067,0.0095,4.095,0.1175,0.5873,0.5771,0.3712,0.3141,0.1695,0.0309,0.1207,-0.0899
itemknn,B,global_0.4,0.4,5,4,0.0095,0.0053,0.0065,0.0091,3.9524,0.1637,0.8185,0.7776,0.4091,0.2808,0.2095,0.1624,0.1637,-0.0013
itemknn,B,global_0.6,0.6,5,4,0.0087,0.0048,0.0058,0.0076,3.8317,0.2083,1.0416,0.8854,0.4621,0.2502,0.2495,0.2711,0.206,0.0652
itemknn,B,global_0.8,0.8,5,4,0.007,0.004,0.0048,0.0056,3.2224,0.4344,2.172,1.0,0.4167,0.1827,0.3352,0.5141,0.4314,0.0827
itemknn,B,global_1.0,1.0,5,4,0.0001,0.0001,0.0001,0.0001,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
itemknn,B,behavioral,p,5,4,0.0099,0.0055,0.0067,0.0095,4.2446,0.0085,0.0426,0.0397,0.303,0.3208,-0.3113,0.0376,0.0074,0.0302
itemknn,B,semantic,p,5,4,0.0086,0.0048,0.0059,0.0078,3.8443,0.2046,1.0231,0.8314,0.4318,0.2459,0.2549,0.2966,0.2012,0.0955
itemknn,B,hybrid_5,p,5,4,0.0099,0.0055,0.0067,0.0094,4.0627,0.1273,0.6365,0.62,0.3712,0.3034,0.1776,0.094,0.1286,-0.0346
itemknn,B,hybrid_10,p,5,4,0.0097,0.0054,0.0066,0.0093,4.0143,0.1425,0.7124,0.682,0.3636,0.2895,0.1933,0.1302,0.1429,-0.0127
itemknn,B,hybrid_20,p,5,4,0.0094,0.0053,0.0065,0.009,3.9642,0.1594,0.7971,0.7397,0.4015,0.2784,0.2157,0.1624,0.1593,0.0031
itemknn,none,none,none,5,5,0.0188,0.0133,0.0152,0.017,4.3848,0.0224,0.1119,0.108,0.2273,0.3082,0.0792,0.0252,0.0223,0.0029
itemknn,A,global_0.0,0.0,5,5,0.0188,0.0133,0.0152,0.017,4.3848,0.0224,0.1119,0.108,0.2273,0.3082,0.0792,0.0252,0.0223,0.0029
itemknn,A,global_0.2,0.2,5,5,0.0185,0.013,0.0149,0.0169,3.8372,0.2617,1.3085,0.681,0.3485,0.2993,0.4893,0.0531,0.2692,-0.2161
itemknn,A,global_0.4,0.4,5,5,0.0181,0.0127,0.0145,0.0154,3.6796,0.32,1.6,0.8951,0.4848,0.2636,0.5264,0.1986,0.3244,-0.1258
itemknn,A,global_0.6,0.6,5,5,0.015,0.0108,0.0122,0.0115,3.4513,0.4131,2.0655,0.9786,0.4621,0.1807,0.6263,0.4503,0.4117,0.0386
itemknn,A,global_0.8,0.8,5,5,0.0033,0.0024,0.0027,0.0028,2.7398,0.6779,3.3893,1.0,0.3864,0.0721,0.8164,0.8769,0.6707,0.2062
itemknn,A,global_1.0,1.0,5,5,0.0006,0.0001,0.0002,0.0003,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
itemknn,A,behavioral,p,5,5,0.0188,0.0133,0.0152,0.017,4.3799,0.0239,0.1197,0.1112,0.3258,0.3085,0.0796,0.0699,0.0223,0.0476
itemknn,A,semantic,p,5,5,0.017,0.0121,0.0138,0.0153,3.4991,0.3938,1.9691,0.9394,0.4697,0.2057,0.5803,0.4434,0.392,0.0513
itemknn,A,hybrid_5,p,5,5,0.0185,0.013,0.0149,0.0169,3.809,0.2704,1.3521,0.7163,0.3864,0.2896,0.4998,0.1175,0.2759,-0.1584
itemknn,A,hybrid_10,p,5,5,0.0183,0.0129,0.0147,0.0168,3.7583,0.2884,1.4418,0.7693,0.4848,0.2765,0.5098,0.1636,0.2929,-0.1292
itemknn,A,hybrid_20,p,5,5,0.0183,0.0129,0.0147,0.0154,3.6827,0.3223,1.6114,0.8562,0.5,0.2558,0.5238,0.214,0.3262,-0.1122
itemknn,B,global_0.0,0.0,5,5,0.0182,0.0128,0.0146,0.0173,4.3734,0.0068,0.0338,0.0328,0.2045,0.3019,-0.544,0.021,0.0063,0.0147
itemknn,B,global_0.2,0.2,5,5,0.0182,0.0128,0.0146,0.0172,3.96,0.2609,1.3046,0.681,0.3106,0.2953,0.127,0.0517,0.2685,-0.2167
itemknn,B,global_0.4,0.4,5,5,0.018,0.0127,0.0145,0.017,3.8149,0.314,1.5698,0.8951,0.3636,0.2668,0.1641,0.1734,0.319,-0.1456
itemknn,B,global_0.6,0.6,5,5,0.0172,0.0122,0.0139,0.0138,3.7014,0.357,1.7849,0.9786,0.4394,0.2375,0.2524,0.2895,0.3594,-0.0699
itemknn,B,global_0.8,0.8,5,5,0.0135,0.0098,0.0111,0.0093,3.1144,0.5682,2.8411,1.0,0.4167,0.1748,0.3606,0.5259,0.5698,-0.0439
itemknn,B,global_1.0,1.0,5,5,0.0,0.0,0.0,0.0,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
itemknn,B,behavioral,p,5,5,0.0182,0.0128,0.0146,0.0173,4.3691,0.0081,0.0404,0.0367,0.2424,0.3021,-0.5431,0.0587,0.0063,0.0525
itemknn,B,semantic,p,5,5,0.0176,0.0125,0.0142,0.0164,3.7285,0.347,1.7348,0.9394,0.4091,0.239,0.206,0.2923,0.3489,-0.0566
itemknn,B,hybrid_5,p,5,5,0.0182,0.0128,0.0146,0.0172,3.9329,0.269,1.345,0.7163,0.2955,0.2862,0.1361,0.1035,0.275,-0.1715
itemknn,B,hybrid_10,p,5,5,0.0181,0.0127,0.0146,0.0171,3.8944,0.2818,1.4088,0.7693,0.3409,0.2767,0.1465,0.1357,0.287,-0.1514
itemknn,B,hybrid_20,p,5,5,0.018,0.0127,0.0145,0.017,3.8364,0.3078,1.5389,0.8562,0.3788,0.2663,0.162,0.172,0.3127,-0.1407
