model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
content,none,none,none,5,1,0.3817,0.2469,0.2966,0.4639,4.2112,0.0044,0.0219,0.0141,0.3788,0.3757,0.3529,0.08,0.0016,0.0784
content,A,global_0.0,0.0,5,1,0.3817,0.2469,0.2966,0.4639,4.2112,0.0044,0.0219,0.0141,0.3788,0.3757,0.3529,0.08,0.0016,0.0784
content,A,global_0.2,0.2,5,1,0.3817,0.2469,0.2966,0.4641,4.2035,0.0052,0.0258,0.0168,0.3939,0.375,0.3588,0.0855,0.0022,0.0833
content,A,global_0.4,0.4,5,1,0.3812,0.2468,0.2963,0.4642,4.1993,0.0069,0.0345,0.0236,0.4167,0.375,0.3604,0.0993,0.0035,0.0958
content,A,global_0.6,0.6,5,1,0.3817,0.2468,0.2965,0.4637,4.1601,0.019,0.0951,0.071,0.4924,0.3629,0.3622,0.1379,0.0147,0.1233
content,A,global_0.8,0.8,5,1,0.3772,0.2443,0.2933,0.3153,3.2975,0.2733,1.3667,1.0,0.5606,0.2597,0.6934,0.4979,0.2651,0.2328
content,A,global_1.0,1.0,5,1,0.0003,0.0001,0.0001,0.0002,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
content,A,behavioral,p,5,1,0.3816,0.2469,0.2965,0.4639,4.2102,0.0046,0.0231,0.0144,0.3864,0.3757,0.3542,0.0869,0.0016,0.0853
content,A,semantic,p,5,1,0.3807,0.2465,0.296,0.462,4.1067,0.0374,0.1871,0.1095,0.4545,0.3527,0.3997,0.1917,0.0318,0.1599
content,A,hybrid_5,p,5,1,0.3816,0.2469,0.2965,0.4643,4.2015,0.0059,0.0297,0.0187,0.4242,0.3744,0.3593,0.0979,0.0026,0.0954
content,A,hybrid_10,p,5,1,0.3813,0.2469,0.2964,0.4641,4.1993,0.0068,0.0338,0.0219,0.4242,0.3738,0.3605,0.1034,0.0032,0.1002
content,A,hybrid_20,p,5,1,0.3811,0.2466,0.2962,0.464,4.1922,0.0092,0.046,0.0311,0.4242,0.3719,0.3615,0.1159,0.0053,0.1106
content,B,global_0.0,0.0,5,1,0.3828,0.2473,0.2972,0.4654,4.2112,0.0043,0.0214,0.0134,0.3788,0.373,0.351,0.0786,0.0016,0.0771
content,B,global_0.2,0.2,5,1,0.3825,0.2472,0.297,0.4651,4.2036,0.0051,0.0255,0.0168,0.3864,0.3723,0.3587,0.0841,0.0022,0.0819
content,B,global_0.4,0.4,5,1,0.3825,0.2472,0.2969,0.4651,4.2,0.0066,0.0331,0.0236,0.4091,0.3711,0.3603,0.0938,0.0034,0.0904
content,B,global_0.6,0.6,5,1,0.382,0.2469,0.2966,0.4647,4.1655,0.0171,0.0856,0.071,0.4545,0.3625,0.3626,0.12,0.0134,0.1066
content,B,global_0.8,0.8,5,1,0.3785,0.245,0.2942,0.3169,3.4036,0.2289,1.1443,1.0,0.5,0.3094,0.6567,0.3628,0.224,0.1388
content,B,global_1.0,1.0,5,1,0.0009,0.0004,0.0005,0.0007,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
content,B,behavioral,p,5,1,0.3827,0.2473,0.2971,0.4653,4.2103,0.0045,0.0226,0.0139,0.3788,0.373,0.3523,0.0855,0.0016,0.084
content,B,semantic,p,5,1,0.3817,0.2469,0.2966,0.4631,4.1275,0.0294,0.147,0.1095,0.447,0.3573,0.3936,0.16,0.0246,0.1354
content,B,hybrid_5,p,5,1,0.3825,0.2472,0.297,0.4651,4.2024,0.0056,0.028,0.0187,0.3939,0.3717,0.3596,0.0897,0.0025,0.0871
content,B,hybrid_10,p,5,1,0.3825,0.2472,0.297,0.4651,4.2002,0.0064,0.0321,0.0219,0.4015,0.3711,0.3604,0.0952,0.0032,0.092
content,B,hybrid_20,p,5,1,0.3825,0.2472,0.2969,0.465,4.1942,0.0084,0.0421,0.0311,0.4091,0.3692,0.3614,0.1048,0.0049,0.0999
content,none,none,none,5,2,0.6549,0.4276,0.5124,0.6794,4.0959,0.0034,0.0168,0.0109,0.3258,0.3756,0.0475,0.0549,0.0014,0.0535
content,A,global_0.0,0.0,5,2,0.6549,0.4276,0.5124,0.6794,4.0959,0.0034,0.0168,0.0109,0.3258,0.3756,0.0475,0.0549,0.0014,0.0535
content,A,global_0.2,0.2,5,2,0.6546,0.4272,0.512,0.6788,4.0887,0.004,0.0202,0.0136,0.3485,0.3736,0.0478,0.0641,0.0017,0.0623
content,A,global_0.4,0.4,5,2,0.655,0.4275,0.5123,0.679,4.0849,0.0057,0.0285,0.0197,0.3864,0.3742,0.0494,0.0771,0.0029,0.0742
content,A,global_0.6,0.6,5,2,0.6547,0.4275,0.5123,0.6791,4.0499,0.0163,0.0815,0.0616,0.447,0.3635,0.0508,0.1111,0.0126,0.0985
content,A,global_0.8,0.8,5,2,0.6482,0.4239,0.5079,0.4944,3.2945,0.2702,1.3511,1.0,0.5303,0.2671,0.6854,0.4797,0.2621,0.2176
content,A,global_1.0,1.0,5,2,0.0,0.0,0.0,0.0,1.8,1.0,5.0,1.0,0.3106,0.0061,0.7069,1.0,1.0,0.0
content,A,behavioral,p,5,2,0.6549,0.4276,0.5124,0.6793,4.0943,0.0038,0.0192,0.0117,0.3636,0.3769,0.0487,0.068,0.0014,0.0666
content,A,semantic,p,5,2,0.6536,0.4269,0.5116,0.6775,4.0179,0.0278,0.1392,0.0852,0.447,0.3545,0.0696,0.1451,0.0233,0.1218
content,A,hybrid_5,p,5,2,0.655,0.4275,0.5123,0.679,4.0867,0.0048,0.0241,0.0153,0.3788,0.3747,0.0494,0.0758,0.0021,0.0737
content,A,hybrid_10,p,5,2,0.6547,0.4273,0.5121,0.6787,4.0855,0.0053,0.0263,0.0175,0.3788,0.375,0.0501,0.0771,0.0025,0.0746
content,A,hybrid_20,p,5,2,0.6545,0.4273,0.512,0.6788,4.0804,0.007,0.0348,0.0238,0.3939,0.3723,0.0508,0.085,0.0039,0.081
content,B,global_0.0,0.0,5,2,0.6546,0.4273,0.5121,0.6791,4.0959,0.0033,0.0163,0.0102,0.3258,0.3717,0.0491,0.0536,0.0013,0.0523
content,B,global_0.2,0.2,5,2,0.6542,0.4272,0.5119,0.6788,4.0887,0.004,0.0202,0.0136,0.3561,0.3732,0.0476,0.0641,0.0017,0.0623
content,B,global_0.4,0.4,5,2,0.6542,0.4272,0.5119,0.6788,4.0853,0.0055,0.0273,0.0197,0.3788,0.3723,0.0492,0.0719,0.0029,0.069
content,B,global_0.6,0.6,5,2,0.6539,0.4272,0.5118,0.6787,4.0544,0.0147,0.0737,0.0616,0.4167,0.3628,0.05,0.0967,0.0116,0.0852
content,B,global_0.8,0.8,5,2,0.6485,0.4237,0.5078,0.4952,3.3984,0.2265,1.1324,1.0,0.4621,0.3112,0.6536,0.3399,0.2221,0.1178
content,B,global_1.0,1.0,5,2,0.0004,0.0001,0.0002,0.0003,2.4,0.8,4.0,1.0,0.0379,0.0012,0.2235,0.8,0.8,0.0
content,B,behavioral,p,5,2,0.6546,0.4273,0.5121,0.679,4.0945,0.0036,0.0182,0.0114,0.3485,0.3723,0.0498,0.0641,0.0013,0.0627
content,B,semantic,p,5,2,0.6534,0.4268,0.5114,0.6776,4.0341,0.0217,0.1083,0.0852,0.4091,0.3585,0.0678,0.1203,0.0178,0.1024
content,B,hybrid_5,p,5,2,0.6542,0.4272,0.5119,0.6788,4.0872,0.0046,0.0229,0.0153,0.3561,0.3726,0.0484,0.0693,0.0021,0.0672
content,B,hybrid_10,p,5,2,0.6542,0.4272,0.5119,0.6788,4.0859,0.005,0.0251,0.0175,0.3561,0.3723,0.049,0.0706,0.0025,0.0681
content,B,hybrid_20,p,5,2,0.6542,0.4272,0.5119,0.6788,4.082,0.0063,0.0314,0.0238,0.3788,0.3708,0.0504,0.0745,0.0036,0.0709
content,none,none,none,5,3,0.6654,0.4379,0.5232,0.683,4.0919,0.0034,0.0168,0.0105,0.3485,0.3684,0.0476,0.0583,0.0013,0.057
content,A,global_0.0,0.0,5,3,0.6654,0.4379,0.5232,0.683,4.0919,0.0034,0.0168,0.0105,0.3485,0.3684,0.0476,0.0583,0.0013,0.057
content,A,global_0.2,0.2,5,3,0.6656,0.4382,0.5235,0.6833,4.083,0.0041,0.0207,0.0139,0.3712,0.3658,0.0427,0.0636,0.0019,0.0617
content,A,global_0.4,0.4,5,3,0.6662,0.4383,0.5238,0.6834,4.0777,0.0063,0.0316,0.0219,0.4091,0.365,0.0432,0.0728,0.0038,0.0691
content,A,global_0.6,0.6,5,3,0.6666,0.4384,0.5239,0.6839,4.0346,0.0191,0.0956,0.0725,0.4545,0.3534,0.0418,0.106,0.0158,0.0901
content,A,global_0.8,0.8,5,3,0.6591,0.4341,0.5188,0.5004,3.2828,0.2747,1.3735,1.0,0.5227,0.2527,0.684,0.4821,0.2668,0.2153
content,A,global_1.0,1.0,5,3,0.0004,0.0001,0.0002,0.0003,1.8,1.0,5.0,1.0,0.303,0.0059,0.7071,1.0,1.0,0.0
content,A,behavioral,p,5,3,0.6655,0.4379,0.5233,0.6831,4.0905,0.0036,0.0182,0.0112,0.3712,0.3684,0.0466,0.0662,0.0013,0.065
content,A,semantic,p,5,3,0.6656,0.4381,0.5234,0.6828,4.0258,0.023,0.1151,0.0732,0.4318,0.3549,0.0591,0.1232,0.0192,0.104
content,A,hybrid_5,p,5,3,0.6659,0.4383,0.5237,0.6834,4.0813,0.0048,0.0241,0.0163,0.3712,0.3649,0.0426,0.0702,0.0023,0.0679
content,A,hybrid_10,p,5,3,0.6661,0.4382,0.5237,0.6836,4.0799,0.0053,0.0265,0.0178,0.3788,0.3653,0.0432,0.0728,0.0027,0.0701
content,A,hybrid_20,p,5,3,0.6665,0.4383,0.5238,0.6835,4.0747,0.0071,0.0353,0.0251,0.4242,0.3646,0.0444,0.0781,0.0043,0.0738
content,B,global_0.0,0.0,5,3,0.6653,0.4376,0.5229,0.6827,4.0913,0.0032,0.0161,0.0097,0.3409,0.3655,0.0467,0.0583,0.0011,0.0572
content,B,global_0.2,0.2,5,3,0.6657,0.438,0.5233,0.6829,4.0832,0.004,0.0202,0.0139,0.3561,0.365,0.0428,0.0623,0.0018,0.0604
content,B,global_0.4,0.4,5,3,0.6658,0.438,0.5234,0.683,4.0785,0.0059,0.0297,0.0219,0.3939,0.3644,0.0435,0.0689,0.0035,0.0653
content,B,global_0.6,0.6,5,3,0.6662,0.4381,0.5235,0.6831,4.0405,0.017,0.0849,0.0725,0.4242,0.3549,0.0425,0.094,0.014,0.08
content,B,global_0.8,0.8,5,3,0.6609,0.4346,0.5196,0.5015,3.3952,0.2271,1.1353,1.0,0.4924,0.3076,0.6542,0.3404,0.2227,0.1177
content,B,global_1.0,1.0,5,3,0.0002,0.0,0.0001,0.0002,2.4,0.8,4.0,1.0,0.0379,0.001,0.2236,0.8,0.8,0.0
content,B,behavioral,p,5,3,0.6651,0.4375,0.5228,0.6826,4.0905,0.0034,0.0168,0.0105,0.3636,0.3661,0.0463,0.0623,0.0011,0.0611
content,B,semantic,p,5,3,0.665,0.4377,0.523,0.682,4.0365,0.0188,0.0942,0.0732,0.4394,0.3558,0.0576,0.102,0.0157,0.0863
content,B,hybrid_5,p,5,3,0.6658,0.438,0.5234,0.683,4.0818,0.0045,0.0226,0.0163,0.3712,0.3649,0.0428,0.0649,0.0022,0.0627
content,B,hybrid_10,p,5,3,0.666,0.4381,0.5235,0.683,4.0804,0.005,0.0251,0.0178,0.3788,0.3649,0.0433,0.0662,0.0027,0.0635
content,B,hybrid_20,p,5,3,0.666,0.4381,0.5235,0.683,4.0761,0.0066,0.0328,0.0251,0.3939,0.3637,0.0449,0.0702,0.0041,0.0661
content,none,none,none,5,4,0.6241,0.4075,0.489,0.6514,4.1033,0.0024,0.0122,0.0085,0.2348,0.3702,0.0606,0.0443,0.0009,0.0434
content,A,global_0.0,0.0,5,4,0.6241,0.4075,0.489,0.6514,4.1033,0.0024,0.0122,0.0085,0.2348,0.3702,0.0606,0.0443,0.0009,0.0434
content,A,global_0.2,0.2,5,4,0.6249,0.4079,0.4895,0.6521,4.0964,0.0032,0.0158,0.0112,0.2576,0.3729,0.0584,0.051,0.0014,0.0496
content,A,global_0.4,0.4,5,4,0.625,0.4079,0.4895,0.6523,4.0923,0.0049,0.0246,0.0175,0.2955,0.3707,0.0589,0.0577,0.0029,0.0548
content,A,global_0.6,0.6,5,4,0.6244,0.4075,0.489,0.652,4.0509,0.0173,0.0866,0.0669,0.3864,0.3613,0.0577,0.0993,0.0142,0.0851
content,A,global_0.8,0.8,5,4,0.6197,0.4048,0.4858,0.4741,3.2918,0.2718,1.3589,1.0,0.4773,0.2561,0.6834,0.4966,0.2633,0.2333
content,A,global_1.0,1.0,5,4,0.0005,0.0003,0.0004,0.0004,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
content,A,behavioral,p,5,4,0.6242,0.4076,0.4891,0.6515,4.1022,0.0027,0.0134,0.0088,0.2576,0.3705,0.0607,0.051,0.0009,0.0501
content,A,semantic,p,5,4,0.6245,0.4075,0.4891,0.6511,4.0022,0.0344,0.1718,0.1007,0.3636,0.3478,0.0866,0.157,0.0297,0.1273
content,A,hybrid_5,p,5,4,0.6248,0.4079,0.4895,0.6523,4.0952,0.0037,0.0187,0.0124,0.303,0.3735,0.0585,0.0604,0.0016,0.0588
content,A,hybrid_10,p,5,4,0.6241,0.4076,0.4891,0.652,4.0928,0.0047,0.0234,0.0153,0.303,0.3722,0.0588,0.0658,0.0024,0.0634
content,A,hybrid_20,p,5,4,0.6241,0.4076,0.4891,0.6517,4.0849,0.0074,0.0372,0.0265,0.3182,0.3698,0.0612,0.0779,0.0048,0.0731
content,B,global_0.0,0.0,5,4,0.6242,0.4075,0.489,0.6513,4.104,0.0024,0.0122,0.0083,0.25,0.3722,0.0612,0.0443,0.0009,0.0434
content,B,global_0.2,0.2,5,4,0.624,0.4074,0.4889,0.6511,4.0965,0.0031,0.0156,0.0112,0.2576,0.3705,0.0582,0.0497,0.0014,0.0483
content,B,global_0.4,0.4,5,4,0.624,0.4074,0.4889,0.6511,4.0927,0.0047,0.0234,0.0175,0.2879,0.3701,0.0586,0.0537,0.0028,0.0509
content,B,global_0.6,0.6,5,4,0.6242,0.4075,0.489,0.6511,4.0558,0.0156,0.0779,0.0669,0.3258,0.3604,0.0587,0.0846,0.013,0.0716
content,B,global_0.8,0.8,5,4,0.6215,0.4057,0.4869,0.4753,3.4011,0.2259,1.1297,1.0,0.3939,0.3051,0.655,0.3356,0.2218,0.1138
content,B,global_1.0,1.0,5,4,0.0001,0.0001,0.0001,0.0001,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
