model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
content,B,global_0.2,0.2,5,3,0.0011,0.0007,0.0008,0.0011,10.4556,0.4238,2.1192,0.8866,0.5656,0.5225,0.0484,0.4933,0.3651,0.1282
content,B,global_0.4,0.4,5,3,0.0011,0.0007,0.0009,0.0011,8.2609,0.5202,2.6008,0.976,0.6226,0.5078,0.1021,0.5819,0.4679,0.1141
content,B,global_0.6,0.6,5,3,0.0009,0.0006,0.0007,0.0009,6.5009,0.6397,3.1986,0.9996,0.6445,0.4758,0.1949,0.6838,0.6024,0.0813
content,B,global_0.8,0.8,5,3,0.0007,0.0005,0.0006,0.0006,4.7665,0.7728,3.8638,1.0,0.6046,0.4116,0.2986,0.7947,0.7542,0.0405
content,B,global_1.0,1.0,5,3,0.0011,0.0008,0.0009,0.0009,1.392,0.8,4.0,1.0,0.0024,0.0011,0.359,0.8,0.8,0.0
content,B,behavioral,p,5,3,0.0009,0.0006,0.0007,0.0009,9.5352,0.4729,2.3646,0.9132,0.5998,0.5218,0.0841,0.5918,0.3723,0.2195
content,B,semantic,p,5,3,0.0011,0.0007,0.0008,0.001,6.1068,0.6764,3.3822,0.9978,0.6465,0.4678,0.2324,0.7092,0.6487,0.0604
content,B,hybrid_5,p,5,3,0.001,0.0007,0.0008,0.001,8.4121,0.5222,2.611,0.9562,0.6158,0.5092,0.1118,0.6235,0.4365,0.187
content,B,hybrid_10,p,5,3,0.0011,0.0007,0.0009,0.001,7.8654,0.5527,2.7636,0.9764,0.6297,0.5053,0.1306,0.6421,0.477,0.1651
content,B,hybrid_20,p,5,3,0.001,0.0007,0.0008,0.001,7.296,0.588,2.9398,0.9882,0.6389,0.4946,0.1552,0.6633,0.5242,0.139
content,none,none,none,5,4,0.0011,0.0006,0.0008,0.001,12.8003,0.349,1.7452,0.7674,0.5305,0.5316,0.0139,0.4249,0.2854,0.1395
content,A,global_0.0,0.0,5,4,0.0011,0.0006,0.0008,0.001,12.8003,0.349,1.7452,0.7674,0.5305,0.5316,0.0139,0.4249,0.2854,0.1395
content,A,global_0.2,0.2,5,4,0.0009,0.0005,0.0007,0.001,8.8485,0.4839,2.4196,0.883,0.607,0.5154,0.0303,0.572,0.4101,0.1619
content,A,global_0.4,0.4,5,4,0.0014,0.0008,0.001,0.0012,4.8078,0.7004,3.502,0.9782,0.6732,0.4492,0.0348,0.7767,0.6365,0.1402
content,A,global_0.6,0.6,5,4,0.0009,0.0006,0.0007,0.0009,1.4979,0.9477,4.7384,0.9998,0.5986,0.2624,-0.0227,0.9662,0.9321,0.0341
content,A,global_0.8,0.8,5,4,0.0004,0.0002,0.0003,0.0003,0.1615,1.0,5.0,1.0,0.1602,0.0529,-0.0722,1.0,1.0,0.0
content,A,global_1.0,1.0,5,4,0.0011,0.0006,0.0008,0.0008,0.0195,1.0,5.0,1.0,0.0028,0.0009,0.9747,1.0,1.0,0.0
content,A,behavioral,p,5,4,0.0009,0.0005,0.0006,0.0008,7.0164,0.5954,2.977,0.9112,0.6393,0.4984,0.0307,0.7912,0.4313,0.36
content,A,semantic,p,5,4,0.001,0.0006,0.0008,0.001,2.6714,0.8616,4.3082,0.9916,0.6345,0.3717,-0.0064,0.896,0.8329,0.0631
content,A,hybrid_5,p,5,4,0.0009,0.0005,0.0006,0.0009,5.6158,0.666,3.3302,0.9496,0.6481,0.4725,0.0336,0.8292,0.5293,0.2999
content,A,hybrid_10,p,5,4,0.001,0.0006,0.0007,0.0009,4.8875,0.7102,3.5512,0.9654,0.6608,0.4543,0.0277,0.8473,0.5954,0.2519
content,A,hybrid_20,p,5,4,0.001,0.0006,0.0007,0.001,4.1476,0.7607,3.8036,0.977,0.6604,0.4296,0.0249,0.8668,0.6718,0.1949
content,B,global_0.0,0.0,5,4,0.001,0.0006,0.0007,0.0009,12.9987,0.3489,1.7446,0.773,0.5285,0.5305,0.0182,0.4261,0.2842,0.1419
content,B,global_0.2,0.2,5,4,0.0009,0.0005,0.0007,0.001,10.3773,0.4246,2.123,0.883,0.5743,0.5232,0.0509,0.4995,0.3618,0.1376
content,B,global_0.4,0.4,5,4,0.0008,0.0005,0.0006,0.0009,8.2113,0.5246,2.6228,0.9782,0.6234,0.5091,0.0991,0.5904,0.4694,0.1209
content,B,global_0.6,0.6,5,4,0.001,0.0006,0.0007,0.0009,6.4233,0.6431,3.2154,0.9998,0.6556,0.4801,0.1939,0.6907,0.6032,0.0875
content,B,global_0.8,0.8,5,4,0.0009,0.0006,0.0007,0.0008,4.7441,0.7728,3.864,1.0,0.613,0.4161,0.3004,0.7944,0.7547,0.0397
